INFO - Client a into the chat!
ERROR - Client a out the chat!
INFO - Client a into the chat!
INFO - Client a out the chat!
INFO - Client test1 into the chat!
INFO - Client test1 out the chat!
INFO - Client a into the chat!2018-08-29T15:14:38.831
INFO - Client a out the chat!2018-08-29T15:15:00.599
INFO - Client a into the chat! 2018-08-29T16:49:39.566
INFO - Client aa into the chat! 2018-08-29T16:50:15.353
INFO - Client aa out the chat! 2018-08-29T16:50:56.212
INFO - Client a out the chat! 2018-08-29T16:50:58.510
INFO - Client a into the chat! 2018-08-29T16:55:10.994
INFO - Client a out the chat! 2018-08-29T16:56:29.869
INFO - Client a into the chat! 2018-08-29T21:35:57.438
INFO - Client aa into the chat! 2018-08-29T21:36:16.056
INFO - Client a out the chat! 2018-08-29T21:36:29.254
INFO - Client aa out the chat! 2018-08-29T21:36:30.084
INFO - Client asdasd into the chat! 2018-08-29T21:36:43.225
INFO - Client asdasd out the chat! 2018-08-29T21:36:45.547
INFO - Client a into the chat! 2018-08-29T21:45:08.480
INFO - Client a out the chat! 2018-08-29T21:45:15.142
INFO - Client fghj into the chat! 2018-08-29T21:45:27.992
INFO - Client fghj out the chat! 2018-08-29T21:45:29.575
INFO - Client a into the chat! 2018-08-29T21:46:00.992
INFO - Client a out the chat! 2018-08-29T21:46:06.608
INFO - Client a into the chat! 2018-08-29T21:46:11.509
INFO - Client a out the chat! 2018-08-29T21:46:15.929
INFO - Client a into the chat! 2018-08-29T21:46:24.558
INFO - Client a out the chat! 2018-08-29T21:46:29.764
INFO - Client a into the chat! 2018-08-29T21:46:46.059
INFO - Client a out the chat! 2018-08-29T21:47:10.965
INFO - Client test1 into the chat! 2018-08-29T21:48:21.148
INFO - Client test1 out the chat! 2018-08-29T21:48:26.514
INFO - Client test1 into the chat! 2018-08-29T21:48:44.737
INFO - Client test1 out the chat! 2018-08-29T21:48:51.445
INFO - Client aa into the chat! 2018-08-29T21:51:31.703
INFO - Client test1 into the chat! 2018-08-29T21:52:06.285
INFO - Client test1 out the chat! 2018-08-29T21:52:37.914
INFO - Client aa out the chat! 2018-08-29T21:52:39.065
INFO - Client qwe into the chat! 2018-08-29T21:52:56.496
INFO - Client qwe out the chat! 2018-08-29T21:53:07.930
INFO - Client qwe into the chat! 2018-08-29T21:53:22.246
INFO - Client qwe out the chat! 2018-08-29T21:53:26.375
INFO - Client qwe into the chat! 2018-08-29T21:53:31.471
INFO - Client qwe out the chat! 2018-08-29T21:53:34.904
INFO - Client aa into the chat! 2018-08-29T21:55:07.640
INFO - Client aa out the chat! 2018-08-29T21:55:11.800
INFO - Client aa into the chat! 2018-08-29T21:55:26.076
INFO - Client aa out the chat! 2018-08-29T21:55:37.611
INFO - Client aa into the chat! 2018-08-29T21:55:42.798
INFO - Client aa out the chat! 2018-08-29T21:55:44.939
INFO - Client aa into the chat! 2018-08-29T21:57:53.341
INFO - Client aa out the chat! 2018-08-29T21:58:11.454
INFO - Client test1 into the chat! 2018-08-29T21:58:31.279
INFO - Client test1 out the chat! 2018-08-29T21:58:32.730
INFO - Client test2 into the chat! 2018-08-29T21:58:57.959
INFO - Client test2 out the chat! 2018-08-29T21:58:59.551
INFO - Client a into the chat! 2018-08-29T21:59:42.264
INFO - Client a out the chat! 2018-08-29T21:59:53.874
INFO - Client test1 into the chat! 2018-08-29T22:13:58.779
INFO - Client test1 out the chat! 2018-08-29T22:14:01.168
INFO - Client aa into the chat! 2018-08-29T22:15:36.264
INFO - Client test1 into the chat! 2018-08-29T22:15:51.735
INFO - Client aa out the chat! 2018-08-29T22:18:00.438
INFO - Client test1 out the chat! 2018-08-29T22:18:01.941
